field,original,cleaned
item_name,Sen el (Rl Flnslun).,Tambakol (Yellow-Fin Tuna) Local
item_name,"Garlic, Native/Local","Garlic, Native/Local"
item_name,"Habichuelas/Baguio Beans, Local","Habichuelas/Baguio Beans, Local"
item_name,Jasponica/Japonica Rice,Jasponica/Japonica Rice
item_name,"Eg‘r;':IPlcmc Shoulder (Kasim),","Pork Picnic Shoulder, Local (Kasim)"
item_name,"Pork Rind/Skin, Local","Pork Rind/Skin, Local"
item_name,"r;;l;rtx::w Shoulder (Kasim),","Pork Picnic Shoulder, Imported (Kasim)"
item_name,"Chicken Rind/Skin, Local","Chicken Rind/Skin, Local"
item_name,Sen el (Rl Flnslun).,Tambakol (Yellow-Fin Tuna) Local
item_name,"Garlic, Native/Local","Garlic, Native/Local"
item_name,"Habichuelas/Baguio Beans, Local","Habichuelas/Baguio Beans, Local"
item_name,Jasponica/Japonica Rice,Jasponica/Japonica Rice
item_name,"Eg‘r;':IPicnic Shoulder (Kasim),","Pork Picnic Shoulder, Local (Kasim)"
item_name,"Pork Rind/Skin, Local","Pork Rind/Skin, Local"
item_name,"r;;l;rtx::w Shoulder (Kasim),","Pork Picnic Shoulder, Imported (Kasim)"
item_name,"Chicken Rind/Skin, Local","Chicken Rind/Skin, Local"
item_name,Sen el (Rl Flnslun).,Tambakol (Yellow-Fin Tuna) Local
item_name,"T:::i:gl (Yellow-Fin Tuna),",Tambakol (Yellow-Fin Tuna) Imported
item_name,"Garlic, Native/Local","Garlic, Native/Local"
item_name,"Habichuelas/Baguio Beans, Local","Habichuelas/Baguio Beans, Local"
item_name,Jasponica/Japonica Rice,Jasponica/Japonica Rice
item_name,Cooking 0Oil (Palm),Cooking Oil (Palm)
item_name,Cooking 0Oil (Palm),Cooking Oil (Palm)
item_name,"g‘;::;’;g Oil (Palm Olein, Jolly","Cooking Oil (Palm Olein, Jolly)"
item_name,"Eg‘r;':IPicnic Shoulder (Kasim),","Pork Picnic Shoulder, Local (Kasim)"
item_name,"Pork Rind/Skin, Local","Pork Rind/Skin, Local"
item_name,"r;;l;rtx::w Shoulder (Kasim),","Pork Picnic Shoulder, Imported (Kasim)"
item_name,"Chicken Rind/Skin, Local","Chicken Rind/Skin, Local"
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,10-12 pes/kg,10–12 pcs/kg
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,"fifif?fi’;ffiig&""fi. i",Medium (8–10 cm diameter/bunch hd)
specification,,
specification,,
specification,,
specification,m:?r::?;r(/%::ciflx 4),mrr(/%ciflx 4)
specification,,
specification,,
specification,"E‘f ;‘g’_’;gg""g':; uiked, Medtiti","Fairly well-matured, medium (150–300 g)"
specification,"ff ;‘g’_’ 3‘3'?;:; tured, Medium","Fairly well-matured, medium (150–300 g)"
specification,,
specification,,
specification,(l\idx:ir::::r(/i(:}r;:hs g;]m,Medium (301–450 g/bunch)
specification,,
specification,,
specification,13-15 pes/kg,13–15 pcs/kg
specification,10-12 pes/kg,10–12 pcs/kg
specification,,
specification,,
specification,,
specification,5% broken,5% broken
specification,20-40% bran streak,20-40% bran streak
specification,1-19% bran streak,1-19 bran streak
specification,,
specification,,
specification,5% broken,5% broken
specification,20-40% bran streak,20-40% bran streak
specification,1-19% bran streak,1-19 bran streak
specification,15-18 pes/kg,15–18 pcs/kg
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,10-12 pes/kg,10–12 pcs/kg
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,"fifif?fi’;ffiig&""fi. i",Medium (8–10 cm diameter/bunch hd)
specification,,
specification,,
specification,,
specification,m:?r::?;r(/%::ciflx 4),mrr(/%ciflx 4)
specification,,
specification,,
specification,"E‘f ;‘g’_’;gg""g':; uiked, Medtiti","Fairly well-matured, medium (150–300 g)"
specification,"(:f;g’_’a,""(‘)';';:]amred' Medium","Fairly well-matured, medium (150–300 g)"
specification,,
specification,,
specification,(l\idx:ir::::r(/i(:}r;:hs g;]m,Medium (301–450 g/bunch)
specification,,
specification,,
specification,13-15 pes/kg,13–15 pcs/kg
specification,10-12 pes/kg,10–12 pcs/kg
specification,,
specification,,
specification,,
specification,5% broken,5% broken
specification,20-40% bran streak,20-40% bran streak
specification,1-19% bran streak,1-19 bran streak
specification,,
specification,5% broken,5% broken
specification,20-40% bran streak,20-40% bran streak
specification,1-19% bran streak,1-19 bran streak
specification,15-18 pes/kg,15–18 pcs/kg
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,10-12 pes/kg,10–12 pcs/kg
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,"fifif?fi’;ffiig&""fi. i",Medium (8–10 cm diameter/bunch hd)
specification,,
specification,,
specification,,
specification,m:?r::?;r(/%::ciflx 4),mrr(/%ciflx 4)
specification,,
specification,,
specification,"E‘f ;‘g’_’;gg""g':; uiked, Medtiti","Fairly well-matured, medium (150–300 g)"
specification,"(:f;g’_’a,""(‘)';';:]amred' Medium","Fairly well-matured, medium (150–300 g)"
specification,,
specification,,
specification,(l\idx:ir::::r(/i(:}r;:hs g;]m,Medium (301–450 g/bunch)
specification,,
specification,,
specification,13-15 pes/kg,13–15 pcs/kg
specification,10-12 pes/kg,10–12 pcs/kg
specification,,
specification,,
specification,,
specification,5% broken,5% broken
specification,20-40% bran streak,20-40% bran streak
specification,1-19% bran streak,1-19 bran streak
specification,,
specification,5% broken,5% broken
specification,20-40% bran streak,20-40% bran streak
specification,1-19% bran streak,1-19 bran streak
specification,15-18 pes/kg,15–18 pcs/kg
specification,,
specification,,
specification,,
specification,,
specification,,
specification,"1,000 mi/bottle","1,000 ml/bottle"
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
specification,,
